Date,Region,Cluster,Country,Segment,Sales Amount,Year,Month,Quarter,Is_Q4,Lag_1_Sales,RollingAvg_3M
2023-01-21,INTERNATIONAL,ANZ,AUSTRALIA,KNEES,4.947414526139449,2023,1,1,0,4.595329478153687,4.626344199952584
2023-01-23,INTERNATIONAL,ANZ,AUSTRALIA,TRAUMA,2.510963324481897,2023,1,1,0,4.947414526139449,4.017902442925011
2023-01-23,INTERNATIONAL,ANZ,AUSTRALIA,HIPS,3.0278428924743626,2023,1,1,0,2.510963324481897,3.4954069143652364
2023-01-23,INTERNATIONAL,ANZ,AUSTRALIA,KNEES,3.781903226659415,2023,1,1,0,3.0278428924743626,3.1069031478718916
2023-01-24,INTERNATIONAL,ANZ,AUSTRALIA,Other Reconstruction,3.4210388228892907,2023,1,1,0,3.781903226659415,3.4102616473410223
2023-01-24,INTERNATIONAL,ANZ,AUSTRALIA,TRAUMA,4.338892235638318,2023,1,1,0,3.4210388228892907,3.8472780950623413
2023-01-24,INTERNATIONAL,ANZ,AUSTRALIA,HIPS,4.769867291868002,2023,1,1,0,4.338892235638318,4.176599450131871
2023-01-24,INTERNATIONAL,ANZ,AUSTRALIA,KNEES,5.1078444122973465,2023,1,1,0,4.769867291868002,4.7388679799345566
2023-01-25,INTERNATIONAL,ANZ,AUSTRALIA,HIPS,2.490425735867452,2023,1,1,0,5.1078444122973465,4.122712480010933
2023-01-25,INTERNATIONAL,ANZ,AUSTRALIA,TRAUMA,2.8391654628985408,2023,1,1,0,2.490425735867452,3.47914520368778
2023-01-25,INTERNATIONAL,ANZ,AUSTRALIA,Other Reconstruction,3.168575896265895,2023,1,1,0,2.8391654628985408,2.8327223650106297
2023-01-25,INTERNATIONAL,ANZ,AUSTRALIA,KNEES,4.425698822175086,2023,1,1,0,3.168575896265895,3.47781339377984
2023-01-26,INTERNATIONAL,ANZ,AUSTRALIA,Other Reconstruction,4.0359649826434465,2023,1,1,0,4.425698822175086,3.8767465670281425
2023-01-26,INTERNATIONAL,ANZ,AUSTRALIA,TRAUMA,4.9849765938073105,2023,1,1,0,4.0359649826434465,4.482213466208614
2023-01-26,INTERNATIONAL,ANZ,AUSTRALIA,HIPS,5.187385374583159,2023,1,1,0,4.9849765938073105,4.736108983677972
2023-01-26,INTERNATIONAL,ANZ,AUSTRALIA,KNEES,5.438205257995336,2023,1,1,0,5.187385374583159,5.203522408795268
2023-01-27,INTERNATIONAL,ANZ,AUSTRALIA,Other Reconstruction,3.23278979368736,2023,1,1,0,5.438205257995336,4.619460142088618
2023-01-27,INTERNATIONAL,ANZ,AUSTRALIA,TRAUMA,4.788013882183872,2023,1,1,0,3.23278979368736,4.486336311288856
2023-01-27,INTERNATIONAL,ANZ,AUSTRALIA,KNEES,4.8173645004982735,2023,1,1,0,4.788013882183872,4.279389392123169
2023-01-27,INTERNATIONAL,ANZ,AUSTRALIA,HIPS,5.028419665227747,2023,1,1,0,4.8173645004982735,4.87793268263663
2023-01-28,INTERNATIONAL,ANZ,AUSTRALIA,KNEES,4.1015259494454295,2023,1,1,0,5.028419665227747,4.649103371723817
2023-01-28,INTERNATIONAL,ANZ,AUSTRALIA,HIPS,4.175129988067125,2023,1,1,0,4.1015259494454295,4.435025200913434
2023-01-30,INTERNATIONAL,ANZ,AUSTRALIA,Other Reconstruction,3.396566986045775,2023,1,1,0,4.175129988067125,3.891074307852776
2023-01-30,INTERNATIONAL,ANZ,AUSTRALIA,TRAUMA,4.617984175643168,2023,1,1,0,3.396566986045775,4.06322704991869
2023-01-30,INTERNATIONAL,ANZ,AUSTRALIA,HIPS,4.888457361770558,2023,1,1,0,4.617984175643168,4.301002841153167
2023-01-30,INTERNATIONAL,ANZ,AUSTRALIA,KNEES,4.968901384512493,2023,1,1,0,4.888457361770558,4.82511430730874
2023-01-31,INTERNATIONAL,ANZ,AUSTRALIA,Other Reconstruction,2.362395922282009,2023,1,1,0,4.968901384512493,4.073251556188353
2023-01-31,INTERNATIONAL,ANZ,AUSTRALIA,TRAUMA,3.310636980743134,2023,1,1,0,2.362395922282009,3.547311429179212
2023-01-31,INTERNATIONAL,ANZ,AUSTRALIA,HIPS,4.633699652773506,2023,1,1,0,3.310636980743134,3.43557751859955
2023-01-31,INTERNATIONAL,ANZ,AUSTRALIA,KNEES,4.82035394898635,2023,1,1,0,4.633699652773506,4.25489686083433
2023-02-01,INTERNATIONAL,ANZ,AUSTRALIA,Other Reconstruction,3.5655415277502494,2023,2,1,0,4.82035394898635,4.339865043170035
2023-02-01,INTERNATIONAL,ANZ,AUSTRALIA,TRAUMA,4.9182177792256,2023,2,1,0,3.5655415277502494,4.434704418654067
2023-02-01,INTERNATIONAL,ANZ,AUSTRALIA,KNEES,5.361118559942544,2023,2,1,0,4.9182177792256,4.6149592889727975
2023-02-01,INTERNATIONAL,ANZ,AUSTRALIA,HIPS,5.378379231712986,2023,2,1,0,5.361118559942544,5.219238523627044
2023-02-02,INTERNATIONAL,ANZ,AUSTRALIA,Other Reconstruction,3.930199052800521,2023,2,1,0,5.378379231712986,4.889898948152017
2023-02-02,INTERNATIONAL,ANZ,AUSTRALIA,TRAUMA,5.062428572528871,2023,2,1,0,3.930199052800521,4.790335619014127
2023-02-02,INTERNATIONAL,ANZ,AUSTRALIA,HIPS,5.325904457043787,2023,2,1,0,5.062428572528871,4.772844027457727
2023-02-02,INTERNATIONAL,ANZ,AUSTRALIA,KNEES,5.558531128399129,2023,2,1,0,5.325904457043787,5.315621385990596
2023-02-03,INTERNATIONAL,ANZ,AUSTRALIA,Other Reconstruction,4.06151505014635,2023,2,1,0,5.558531128399129,4.981983545196422
2023-02-03,INTERNATIONAL,ANZ,AUSTRALIA,TRAUMA,4.686053390867009,2023,2,1,0,4.06151505014635,4.768699856470829
2023-02-03,INTERNATIONAL,ANZ,AUSTRALIA,HIPS,5.010821260739143,2023,2,1,0,4.686053390867009,4.586129900584168
2023-02-03,INTERNATIONAL,ANZ,AUSTRALIA,KNEES,5.2107616252578355,2023,2,1,0,5.010821260739143,4.969212092287996
2023-02-04,INTERNATIONAL,ANZ,AUSTRALIA,Other Reconstruction,1.9909599946180283,2023,2,1,0,5.2107616252578355,4.070847626871669
2023-02-06,INTERNATIONAL,ANZ,AUSTRALIA,Other Reconstruction,3.638397912244059,2023,2,1,0,1.9909599946180283,3.6133731773733078
2023-02-06,INTERNATIONAL,ANZ,AUSTRALIA,TRAUMA,4.6675166305582785,2023,2,1,0,3.638397912244059,3.432291512473455
2023-02-06,INTERNATIONAL,ANZ,AUSTRALIA,HIPS,4.860247082484407,2023,2,1,0,4.6675166305582785,4.388720541762248
2023-02-06,INTERNATIONAL,ANZ,AUSTRALIA,KNEES,5.060229542831335,2023,2,1,0,4.860247082484407,4.862664418624673
2023-02-07,INTERNATIONAL,ANZ,AUSTRALIA,Other Reconstruction,3.7253881137627247,2023,2,1,0,5.060229542831335,4.548621579692822
2023-02-07,INTERNATIONAL,ANZ,AUSTRALIA,TRAUMA,4.701821466996331,2023,2,1,0,3.7253881137627247,4.495813041196797
2023-02-07,INTERNATIONAL,ANZ,AUSTRALIA,HIPS,5.112657753905866,2023,2,1,0,4.701821466996331,4.5132891115549745
2023-02-07,INTERNATIONAL,ANZ,AUSTRALIA,KNEES,5.274750092377205,2023,2,1,0,5.112657753905866,5.029743104426468
2023-02-08,INTERNATIONAL,ANZ,AUSTRALIA,Other Reconstruction,3.836909803010958,2023,2,1,0,5.274750092377205,4.741439216431343
2023-02-08,INTERNATIONAL,ANZ,AUSTRALIA,TRAUMA,4.546516434271005,2023,2,1,0,3.836909803010958,4.552725443219723
2023-02-08,INTERNATIONAL,ANZ,AUSTRALIA,HIPS,5.114467758782552,2023,2,1,0,4.546516434271005,4.499297998688172
2023-02-08,INTERNATIONAL,ANZ,AUSTRALIA,KNEES,5.2383696016130585,2023,2,1,0,5.114467758782552,4.966451264888872
